,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
147,2023-05-27,20.53,19.34,19.36,693897.83,13822990.28,20.44,direct,
148,2023-05-28,21.18,20.31,20.44,1122610.37,23232716.4,20.82,direct,
149,2023-05-29,20.99,20.28,20.82,971645.92,20052767.19,20.59,direct,
150,2023-05-30,21.43,20.48,20.59,1940379.13,40908061.48,21.27,direct,
151,2023-05-31,21.34,20.41,21.27,1220068.9,25266396.22,20.82,direct,
152,2023-06-01,20.99,20.43,20.82,915884.5,18968372.25,20.51,direct,
153,2023-06-02,21.37,20.32,20.51,1072349.98,22584893.94,21.26,direct,
154,2023-06-03,21.36,20.99,21.26,585145.78,12378952.47,21.21,direct,
155,2023-06-04,22.31,21.05,21.21,1339500.05,29292770.7,21.82,direct,
156,2023-06-05,22.06,19.23,21.82,3154591.96,64969446.79,20.02,direct,
157,2023-06-06,20.7,19.26,20.02,2091853.4,41826894.8,20.4,direct,
158,2023-06-07,20.54,18.53,20.4,2314791.72,45027331.01,18.63,direct,
159,2023-06-08,19.1,18.26,18.63,907949.52,17007325.0,18.89,direct,
160,2023-06-09,19.36,17.11,18.89,2121056.34,38653266.03,17.4,direct,
161,2023-06-10,17.41,13.13,17.4,5812236.49,87734042.11,15.64,direct,
162,2023-06-11,16.17,15.13,15.64,1411842.79,22042187.49,15.55,direct,
163,2023-06-12,15.68,14.75,15.55,1420312.63,21542962.86,15.18,direct,
164,2023-06-13,15.99,14.77,15.18,1422396.31,21634642.46,15.03,direct,
165,2023-06-14,15.35,14.12,15.03,1261873.28,18714703.42,14.48,direct,
166,2023-06-15,15.05,14.17,14.48,1283928.79,18794111.23,14.77,direct,
167,2023-06-16,15.45,14.43,14.77,1447075.02,21834878.39,15.32,direct,
168,2023-06-17,16.1,15.16,15.32,861853.97,13524308.08,15.65,direct,
169,2023-06-18,15.84,15.31,15.65,491829.19,7678517.01,15.43,direct,
170,2023-06-19,16.13,15.36,15.43,733133.44,11503860.1,16.1,direct,
171,2023-06-20,16.68,15.73,16.1,1517960.76,24582953.16,16.65,direct,
172,2023-06-21,17.41,16.57,16.65,2236078.72,37898015.32,17.24,direct,
173,2023-06-22,17.74,16.58,17.24,1315581.03,22524007.25,16.64,direct,
174,2023-06-23,17.55,16.19,16.64,2379666.35,40268531.07,17.15,direct,
175,2023-06-24,17.53,16.43,17.15,1235574.01,20935133.45,16.66,direct,
176,2023-06-25,17.38,16.58,16.66,1147278.85,19569809.93,16.97,direct,
177,2023-06-26,17.12,15.95,16.97,1436529.07,23801525.98,16.28,direct,
178,2023-06-27,16.93,16.14,16.28,1294930.16,21477234.38,16.63,direct,
179,2023-06-28,16.64,15.7,16.63,1747808.88,28247031.46,15.98,direct,
180,2023-06-29,18.27,15.87,15.98,2625741.97,45742590.16,17.99,direct,
181,2023-06-30,19.99,17.11,17.99,3056516.32,57111782.57,18.86,direct,
182,2023-07-01,19.01,17.91,18.86,1014465.05,18636372.45,18.71,direct,
183,2023-07-02,19.73,18.55,18.71,1577118.75,30247022.04,19.46,direct,
184,2023-07-03,19.65,18.87,19.46,1005093.69,19337839.73,19.27,direct,
185,2023-07-04,19.94,19.08,19.27,1029507.55,20030489.41,19.15,direct,
186,2023-07-05,19.39,18.45,19.15,1162282.9,21870944.05,19.0,direct,
187,2023-07-06,20.97,18.75,19.0,3637283.11,72288329.57,19.61,direct,
188,2023-07-07,21.7,19.27,19.61,3377031.9,69662085.33,21.51,direct,
189,2023-07-08,22.46,21.32,21.51,1959912.0,42760105.1,21.82,direct,
190,2023-07-09,22.35,21.01,21.82,1182257.39,25582748.11,21.33,direct,
191,2023-07-10,21.8,20.51,21.33,2078003.91,44008856.3,21.3,direct,
192,2023-07-11,22.34,21.22,21.3,1390885.71,30543363.66,22.07,direct,
193,2023-07-12,22.74,21.77,22.07,2038635.95,45421393.05,21.93,direct,
194,2023-07-13,26.79,21.44,21.93,4578046.59,112040102.88,26.02,direct,
195,2023-07-14,32.06,25.25,26.02,5914617.83,164647403.53,26.7,direct,
196,2023-07-15,29.1,26.51,26.7,2780586.56,77616992.04,27.45,direct,
197,2023-07-16,28.61,26.54,27.45,2089861.89,58227603.37,27.43,direct,
198,2023-07-17,28.47,25.61,27.43,2941926.93,79483808.38,26.83,direct,
199,2023-07-18,27.09,24.76,26.83,2439766.61,62512632.88,25.56,direct,
200,2023-07-19,26.99,25.37,25.56,2475618.52,65210080.97,26.31,direct,
201,2023-07-20,27.35,25.05,26.31,2241363.03,58814482.45,25.36,direct,
202,2023-07-21,26.01,25.07,25.36,1304691.93,33312386.28,25.51,direct,
203,2023-07-22,25.97,24.09,25.51,938917.66,23659080.27,24.52,direct,
204,2023-07-23,25.25,24.16,24.52,1196929.41,29589539.29,24.76,direct,
205,2023-07-24,24.83,22.87,24.76,1723093.66,40698588.87,23.37,direct,
206,2023-07-25,24.0,22.75,23.37,1322488.01,30784991.58,23.29,direct,
207,2023-07-26,25.65,23.18,23.29,2122730.31,52095173.98,25.18,direct,
208,2023-07-27,25.65,24.68,25.18,1602133.72,40265979.19,25.1,direct,
209,2023-07-28,25.52,24.52,25.1,1367070.84,34151035.91,24.81,direct,
210,2023-07-29,25.38,24.74,24.81,766106.34,19243067.28,25.16,direct,
211,2023-07-30,25.21,23.55,25.16,1208100.93,29669821.01,24.25,direct,
212,2023-07-31,24.79,23.54,24.25,1307825.71,31654208.04,23.72,direct,
213,2023-08-01,24.05,22.81,23.72,1443334.09,33853632.94,24.05,direct,
214,2023-08-02,24.27,22.87,24.05,1324116.92,31130414.83,23.14,direct,
215,2023-08-03,23.38,22.49,23.14,995059.72,22727563.66,22.62,direct,
216,2023-08-04,23.55,22.5,22.62,1252802.79,28854342.0,22.77,direct,
217,2023-08-05,22.91,22.22,22.77,561125.87,12695627.31,22.63,direct,
218,2023-08-06,23.44,22.57,22.63,797415.07,18382691.2,23.18,direct,
219,2023-08-07,23.61,22.33,23.18,817463.93,18743749.83,23.11,direct,
220,2023-08-08,24.77,23.01,23.11,1786984.87,42680496.83,24.21,direct,
221,2023-08-09,25.0,24.1,24.21,1347180.87,33110965.79,24.37,direct,
222,2023-08-10,24.88,24.11,24.37,788164.54,19294073.76,24.59,direct,
223,2023-08-11,24.89,24.32,24.59,820520.52,20166257.71,24.61,direct,
224,2023-08-12,25.18,24.38,24.61,643368.17,15910138.7,24.91,direct,
225,2023-08-13,24.94,24.19,24.91,512075.85,12589055.27,24.21,direct,
226,2023-08-14,25.28,24.05,24.21,1242430.01,30722289.89,25.17,direct,
227,2023-08-15,25.34,23.72,25.17,1419406.92,34606007.26,23.88,direct,
228,2023-08-16,24.0,22.38,23.88,1634691.24,37954695.37,22.79,direct,
229,2023-08-17,23.4,20.27,22.79,2361854.32,52640360.75,21.69,direct,
230,2023-08-18,22.19,20.92,21.69,1416246.63,30663247.45,21.33,direct,
231,2023-08-19,22.16,21.29,21.33,630110.33,13716213.39,21.89,direct,
232,2023-08-20,22.03,21.58,21.89,397985.71,8673017.32,21.77,direct,
233,2023-08-21,21.77,20.35,21.77,1222088.13,25814784.74,21.2,direct,
234,2023-08-22,21.27,19.37,21.2,1454890.19,29694314.02,20.56,direct,
235,2023-08-23,21.81,20.38,20.56,1538625.65,32454156.7,21.73,direct,
236,2023-08-24,22.02,20.68,21.73,1116271.21,23861293.23,21.05,direct,
237,2023-08-25,21.05,20.08,21.05,938883.12,19229716.09,20.42,direct,
238,2023-08-26,20.43,20.18,20.42,288121.33,5846199.1,20.28,direct,
239,2023-08-27,20.9,20.23,20.28,421942.32,8703634.15,20.79,direct,
240,2023-08-28,20.79,20.03,20.79,747164.4,15293473.06,20.55,direct,
241,2023-08-29,22.02,20.11,20.55,2009874.66,43104524.43,21.79,direct,
242,2023-08-30,21.99,20.61,21.79,1126289.83,23853899.07,20.82,direct,
243,2023-08-31,21.05,19.43,20.82,2036894.53,40987465.06,19.73,direct,
244,2023-09-01,19.92,19.03,19.73,1308254.33,25529022.64,19.32,direct,
245,2023-09-02,19.68,19.14,19.32,477963.05,9303242.26,19.49,direct,
246,2023-09-03,19.66,19.24,19.49,480251.45,9355187.04,19.57,direct,
247,2023-09-04,20.02,19.18,19.57,732674.12,14340090.33,19.51,direct,
248,2023-09-05,20.57,19.04,19.51,1607009.67,32071933.35,20.26,direct,
249,2023-09-06,20.37,19.15,20.26,1185166.35,23346044.78,19.64,direct,
250,2023-09-07,19.99,19.32,19.64,889595.8,17484240.88,19.91,direct,
251,2023-09-08,20.28,19.36,19.91,808577.24,15951678.76,19.61,direct,
252,2023-09-09,19.61,19.37,19.61,321230.59,6265388.01,19.44,direct,
253,2023-09-10,19.44,17.81,19.44,1945067.71,35702570.25,18.24,direct,
254,2023-09-11,18.45,17.36,18.24,1976191.67,35117993.35,17.72,direct,
255,2023-09-12,18.78,17.57,17.72,1802892.84,32553058.8,17.92,direct,
256,2023-09-13,18.56,17.69,17.92,1793641.37,32656406.15,18.4,direct,
257,2023-09-14,19.32,18.4,18.4,1430116.4,27057514.48,18.86,direct,
258,2023-09-15,19.49,18.56,18.86,1214263.19,23027812.86,19.14,direct,
259,2023-09-16,19.44,18.88,19.14,551791.81,10552890.07,19.13,direct,
260,2023-09-17,19.14,18.66,19.13,378311.32,7150337.15,18.82,direct,
261,2023-09-18,20.14,18.61,18.82,1611968.16,31623524.0,19.66,direct,
262,2023-09-19,20.38,19.58,19.66,1062962.62,21278349.73,20.04,direct,
263,2023-09-20,20.51,19.81,20.04,1284276.46,25908280.08,20.29,direct,
264,2023-09-21,20.3,19.28,20.29,1467070.34,28829909.47,19.46,direct,
265,2023-09-22,19.79,19.17,19.46,820242.58,15987737.87,19.42,direct,
266,2023-09-23,19.57,19.29,19.42,431831.79,8393642.55,19.48,direct,
